Access,Type,Name,Address,Notes
R,Analog,Brine Out,1,
R,Analog,Brine In,2,
R,Analog,Heating Out,3,
R,Analog,Heating In,4,
R,Analog,Compressor suction temperature,5,
R,Analog,Compressor suction pressure,6,
R,Analog,Compressor discharge pressure,7,
R,Analog,DHW Temperature,8,
R,Analog,Outside Temperature,11,
R,Analog,Pressure Brine,13,
R,Analog,Pressure Heating,14,
R/W,Analog,Delta-T Start DHW,15,range 0 - 20; undocumented register - range is guessed
R/W,Analog,DHW Setpoint,17,range 0 - 80; undocumented register - range is guessed
R/W,Analog,Min Allowed Brine Temp,24,range -20 - 20; undocumented register - range is guessed
R,Analog,Brine Temperature Air Unit Outlet,29,
R,Analog,COP,30,
R,Analog,PF,31,
R/W,Analog,Heating Curve Min Production & Max Outside Temperature,34,range -20 - 40; undocumented register - range is guessed
R/W,Analog,Heating Curve Min Outside Temperature,35,range -20 - 40; undocumented register - range is guessed
R/W,Analog,Heating Curve Max Production Temperature,36,range -20 - 40; undocumented register - range is guessed
R,Analog,Cooling Delta-T from Dewpoint,50,undocumented register
R/W,Analog,Heating Fixed Temperature,73,range 0 - 40; undocumented register - range is guessed
R/W,Analog,Thermal Power DHW Min,74,range 15 - 100; undocumented register
R/W,Analog,Thermal Power DHW Max,75,range 15 - 100; undocumented register
R/W,Analog,Thermal Power Heating Min,76,range 15 - 100; undocumented register
R/W,Analog,Thermal Power Heating Max,77,range 15 - 100; undocumented register
R/W,Analog,Min Allowed Production Temp,87,range -20 - 20; undocumented register - range is guessed
R/W,Analog,Production Pump Min,90,range 0 - 100; undocumented register
R/W,Analog,Production Pump Max,91,range 0 - 100; undocumented register
R,Analog,Condensation temperature,94,
R,Analog,Heating DG1 Setpoint,97,undocumented register
R,Analog,Cooling SG3 Setpoint (with EVU-signal),130,undocumented register
R,Analog,Superheat,132,
R,Analog,Expansion Valve Position,133,poorly documented; crosscheck with Th-Touch says it's not divded by 10
R/W,Analog,BUS DHW Setpoint,134,range 0 - 80; range is guessed
R/W,Analog,BUS Heating DG1 Setpoint,135,range 20 - 40; range is guessed
R/W,Analog,BUS Heating SG2 Setpoint,136,range 20 - 40; range is guessed
R/W,Analog,BUS Heating SG3 Setpoint,137,range 20 - 40; range is guessed
R/W,Analog,BUS Heating SG4 Setpoint,138,range 20 - 40; range is guessed
R/W,Analog,BUS Cooling DG1 Setpoint,139,range 5 - 30; range is guessed
R/W,Analog,BUS Cooling SG2 Setpoint,140,range 5 - 30; range is guessed
R/W,Analog,BUS Cooling SG3 Setpoint,141,range 5 - 30; range is guessed
R/W,Analog,BUS Cooling SG4 Setpoint,142,range 5 - 30; range is guessed
R/W,Analog,BUS Pool Setpoint,143,range 20 - 40; range is guessed
R/W,Analog,Delta-T Start Heating,154,range 0 - 20; undocumented register - range is guessed
